Year,Location,Vehicle_Type,Count
2014,RIZAL AVE.,Tricycle,1568
2014,DEL PAN,Tricycle,1822
2014,MARCOS HWY.,Tricycle,153
2014,MCARTHUR HWY.,Tricycle,270
2014,TOTAL,Tricycle,13890
2014,RECTO,Total,61831
2014,MENDOZA,Total,87069
2014,PRES. QUIRINO,Total,124657
2014,ARANETA AVE.,Total,97360
2014,EDSA (BUENDIA AVE.),Total,360417
2014,KATIPUNAN / C.P. GARCIA,Total,178429
2014,ROXAS BLVD.,Total,168963
2014,TAFT AVE.,Total,83463
2014,SSH,Total,143610
2014,SHAW BLVD.,Total,88057
2014,ORTIGAS AVE.,Total,123277
2014,MAGSAYSAY BLVD.,Total,98753
2014,AURORA BLVD.,Total,102554
2014,QUEZON AVE.,Total,183458
2014,COMMONWEALTH AVE.,Total,233101
2014,A. BONIFACIO,Total,90354
2014,RIZAL AVE.,Total,58951
2014,DEL PAN,Total,45665
2014,MARCOS HWY.,Total,168983
2014,MCARTHUR HWY.,Total,76944
2014,TOTAL,Total,2575896
2015,RECTO,Car,30216
2015,MENDOZA,Car,63469
2015,PRES. QUIRINO,Car,76073
2015,ARANETA AVE.,Car,54670
2015,EDSA (BUENDIA AVE),Car,284436
2015,KATIPUNAN / C.P. GARCIA,Car,134939
2015,ROXAS BLVD.,Car,138070
2015,TAFT AVE.,Car,56378
2015,SSH,Car,86652
2015,SHAW BLVD.,Car,58604
2015,ORTIGAS AVE.,Car,73299
2015,MAGSAYSAY BLVD.,Car,56971
2015,AURORA BLVD.,Car,55976
2015,QUEZON AVE.,Car,136358
2015,COMMONWEALTH AVE.,Car,169329
2015,A. BONIFACIO,Car,25880
2015,RIZAL AVE.,Car,29017
2015,DEL PAN,Car,NO DATA AVAILABLE
2015,MARCOS HWY.,Car,112020
2015,MCARTHUR HWY.,Car,36702
2015,TOTAL,Car,1678955
2015,RECTO,PUJ,15736.0
2015,MENDOZA,PUJ,72.0
2015,PRES. QUIRINO,PUJ,5019.0
2015,ARANETA AVE.,PUJ,2228.0
2015,EDSA (BUENDIA AVE),PUJ,2944.0
2015,KATIPUNAN / C.P. GARCIA,PUJ,985.0
2015,ROXAS BLVD.,PUJ,103.0
2015,TAFT AVE.,PUJ,15885.0
2015,SSH,PUJ,3.0
2015,SHAW BLVD.,PUJ,10262.0
2015,ORTIGAS AVE.,PUJ,8706.0
2015,MAGSAYSAY BLVD.,PUJ,13220.0
2015,AURORA BLVD.,PUJ,16592.0
2015,QUEZON AVE.,PUJ,8429.0
2015,COMMONWEALTH AVE.,PUJ,17113.0
2015,A. BONIFACIO,PUJ,4533.0
2015,RIZAL AVE.,PUJ,13205.0
2015,DEL PAN,PUJ,
2015,MARCOS HWY.,PUJ,17171.0
2015,MCARTHUR HWY.,PUJ,10012.0
2015,TOTAL,PUJ,163219.0
2015,RECTO,PUB,643.0
2015,MENDOZA,PUB,193.0
2015,PRES. QUIRINO,PUB,173.0
